year,month,value
2015,3,2882.1
2015,4,2882.9
2015,5,2888.1
2015,6,2890.8
2015,7,2893.7
2015,8,2896.6
2015,9,2896.6
2015,10,2901.3
2015,11,2901.6
2015,12,2907.9
2016,1,2918.4
2016,2,2922.6
2016,3,2923
2016,4,2924.3
2016,5,2916.7
2016,6,2916.8
2016,7,2928.2
2016,8,2929.1
2016,9,2923.8
2016,10,2930.1
2016,11,2933.8
2016,12,2934.3
2017,1,2939.7
2017,2,2950.8
2017,3,2947.1
2017,4,2960.2
2017,5,2956.5
2017,6,2951.1
2017,7,2956.9
2017,8,2949.8
2017,9,2962
2017,10,2971.9
2017,11,2976.2
2017,12,2974.5
